
---------- Begin Simulation Statistics ----------
sim_seconds                                  4.976971                       # Number of seconds simulated
system.mem_ctrls0.perBankRdBursts::15         1118150                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::0           818165                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::1           810161                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::2           824894                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::3           823524                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::4           823169                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::5           815235                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::6           819488                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::7           831291                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::8           824617                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::9           818143                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::10          811746                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::11          807954                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::12          805246                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::13          817942                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::14          811181                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::15          819017                       # Per bank write bursts
system.mem_ctrls0.numRdRetry                        0                       # Number of times read queue was full causing retry
system.mem_ctrls0.numWrRetry                        0                       # Number of times write queue was full causing retry
system.mem_ctrls0.totGap                 4976970362685                       # Total gap between requests
system.mem_ctrls0.readPktSize::0                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::1                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::2                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::3                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::4                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::5                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::6             17874540                       # Read request sizes (log2)
system.mem_ctrls0.writePktSize::0                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::1                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::2                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::3                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::4                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::5                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::6            13081798                       # Write request sizes (log2)
system.mem_ctrls0.rdQLenPdf::0               16697486                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::1                 920821                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::2                 240695                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::3                  15538                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::4                      0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::5                      0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::6                      0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::7                      0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::8                      0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::9                      0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::10                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::11                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::12                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::13                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::14                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::15                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::16                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::17                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::18                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::19                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::20                     0                       # What read queue length does an incoming req see
