sphinx3        
num 0	0	41030	4250892	2727483	3442494	82811	
num 0	1	    5	  730	  271	  213	   66	
num 0	2	   14	 1483	  895	 1043	  163	
num 0	3	   41	 4073	 2859	 3202	  362	
num 0	4	   44	 4566	 3087	 3126	  485	
num 0	5	   25	 2485	 1794	 1788	  333	
num 0	6	  109	11099	 7555	 7589	 1661	
num 0	7	  298	31005	20559	19980	 4744	
num 0	8	68541	7009283	4974203	4293924	1269086	
num 0	9	    0	    0	    0	    0	    0	
num 0	10	    0	    0	    0	    0	    0	
num 0	11	    0	    0	    0	    0	    0	
num 0	12	    0	    0	    0	    0	    0	
num 0	13	   44	 4176	 3197	 2093	 1798	
num 0	14	  922	88277	65825	42746	39184	
num 0	15	48228	4594566	3430627	2282241	2038934	
num 0	16	1909311	180142989	135749299	93460680	79430648	
num 1	0	 3971	417894	266222	311908	20552	
num 1	1	   53	 5118	 3753	 4144	  553	
num 1	2	   64	 6671	 4416	 4656	  641	
num 1	3	  140	14860	 9430	10058	 1492	
num 1	4	   85	 8386	 6191	 6008	 1175	
num 1	5	  202	20357	14466	13840	 3049	
num 1	6	  583	59698	41618	39011	 8921	
num 1	7	18284	1892755	1305863	1171600	310486	
num 1	8	   35	 3255	 2786	 2171	  748	
num 1	9	    2	  177	  153	  140	   42	
num 1	10	    0	    0	    0	    0	    0	
num 1	11	    0	    0	    0	    0	    0	
num 1	12	   25	 2409	 1727	 1353	  911	
num 1	13	 1634	156835	117049	76275	68145	
num 1	14	75630	7231389	5382375	3555222	3192294	
num 1	15	2407523	228268369	171107786	116110129	100839604	
num 2	0	 9156	952364	625431	704533	61608	
num 2	1	  260	27833	17518	18718	 2491	
num 2	2	  406	42838	27789	28879	 4430	
num 2	3	  372	38362	26130	25893	 4847	
num 2	4	  629	64462	44662	43304	 8596	
num 2	5	 1354	141376	94974	89671	20603	
num 2	6	27323	2814757	1961942	1766682	451307	
num 2	7	   53	 5315	 3900	 3283	 1070	
num 2	8	  110	11811	 7720	 6528	 2101	
num 2	9	    6	  829	  344	  230	  133	
num 2	10	   25	 2521	 1914	 1389	  576	
num 2	11	   77	 7432	 5644	 4028	 2608	
num 2	12	 2064	197542	148674	98683	83485	
num 2	13	61606	5905453	4388415	2894240	2583028	
num 2	14	1672674	159243707	118952981	79680409	70327447	
num 3	0	18234	1883842	1248942	1405252	129868	
num 3	1	  850	89427	58193	60687	 9293	
num 3	2	 1212	128287	83719	83567	14699	
num 3	3	 1773	178734	127418	123576	24160	
num 3	4	 2200	224703	156479	150721	31297	
num 3	5	12298	1269694	873356	808357	196881	
num 3	6	  437	43548	31894	28706	 7724	
num 3	7	  301	30421	21518	19532	 5585	
num 3	8	  117	12131	 8412	 6886	 2523	
num 3	9	   65	 6534	 4697	 4032	 1377	
num 3	10	  250	24964	18031	13155	 7850	
num 3	11	 1865	180126	135919	94757	66638	
num 3	12	39278	3774231	2814595	1865365	1600977	
num 3	13	824979	78777701	58785395	39032102	34599426	
num 4	0	22544	2336684	1547147	1714117	173316	
num 4	1	 1695	178322	117133	118946	19519	
num 4	2	 2326	238856	164858	161595	30147	
num 4	3	 3988	411662	282117	272285	54864	
num 4	4	19421	2005321	1373258	1317477	275720	
num 4	5	 1535	161034	108852	96490	26584	
num 4	6	 1363	136309	99693	86602	26324	
num 4	7	  710	70878	52893	43503	14486	
num 4	8	  919	90646	66323	51276	27019	
num 4	9	  516	51141	37478	29350	14127	
num 4	10	 2743	265495	200351	148759	87603	
num 4	11	22457	2163143	1624978	1131841	829030	
num 4	12	331583	31744545	23715888	15832613	13592202	
num 5	0	18006	1844385	1248272	1341354	175525	
num 5	1	 3049	314755	213684	214595	37510	
num 5	2	 4550	466976	321273	313591	62960	
num 5	3	19270	1973111	1367419	1325704	266886	
num 5	4	 2732	281531	196194	175077	46590	
num 5	5	 3628	372004	261718	228873	66173	
num 5	6	 2211	227346	159129	136137	43404	
num 5	7	 1622	163915	118181	95204	37932	
num 5	8	 7150	710439	516199	391002	212760	
num 5	9	 4631	455480	335076	256776	138204	
num 5	10	21991	2136040	1597978	1190476	705202	
num 5	11	134307	12898261	9684273	6738290	5061768	
num 6	0	36650	3769040	2536239	2740857	336264	
num 6	1	 4059	417788	286207	280518	54591	
num 6	2	13657	1411829	961570	935680	187113	
num 6	3	 4885	503305	347898	318327	81030	
num 6	4	 6401	657863	457935	409677	113181	
num 6	5	 5364	544294	389317	337756	101817	
num 6	6	 3822	386609	277454	230469	83900	
num 6	7	 7399	735576	533331	414517	210720	
num 6	8	50499	5002098	3635863	2764826	1524957	
num 6	9	28651	2799075	2080608	1608523	846450	
num 6	10	94811	9166014	6888359	5185103	3032140	
num 7	0	34115	3492074	2357796	2549789	333781	
num 7	1	 8846	912859	623721	610665	117331	
num 7	2	 6541	662783	469277	438475	103961	
num 7	3	 8483	877466	605676	541106	147400	
num 7	4	 9300	939436	675390	595547	170427	
num 7	5	 6877	694885	498519	426720	140388	
num 7	6	 8261	817744	599616	477779	219677	
num 7	7	41218	4067148	2972586	2279590	1232484	
num 7	8	275603	27186106	19815933	15242775	8309554	
num 7	9	104420	10179987	7564496	5891056	3095981	
num 8	0	145269	14953208	9901829	11254097	1079730	
num 8	1	 6274	647781	444309	419569	94485	
num 8	2	 9004	923590	645311	582152	153971	
num 8	3	10890	1108250	785536	696127	197927	
num 8	4	11035	1105980	805669	696397	216914	
num 8	5	 9938	994894	719516	588132	241586	
num 8	6	35949	3558487	2590279	2027630	1026548	
num 8	7	187683	18540181	13483189	10420977	5602501	
num 8	8	861874	84583007	61937337	48302999	25816401	
num 9	0	13383	1349459	945190	958581	172818	
num 9	1	 5946	606304	425014	394039	96819	
num 9	2	 8779	891067	633742	567243	155372	
num 9	3	11753	1192437	849723	741103	225505	
num 9	4	11811	1182202	852920	719796	268698	
num 9	5	25391	2524918	1822106	1447233	705839	
num 9	6	136563	13516114	9774234	7715830	3953950	
num 9	7	465143	45832802	33309318	26173305	13761183	
num 10	0	10885	1089188	773720	770586	153066	
num 10	1	 4656	474396	333629	303728	80183	
num 10	2	 7991	807269	579300	508524	150603	
num 10	3	11887	1196994	853543	726382	266153	
num 10	4	27122	2688019	1938204	1594904	722105	
num 10	5	82841	8205435	5912738	4725732	2363391	
num 10	6	320490	31634356	22911811	18315812	9183461	
num 11	0	 8384	834287	593983	586501	131533	
num 11	1	 3650	376395	258951	231233	67821	
num 11	2	 7688	773635	550857	477195	166441	
num 11	3	24853	2463212	1768762	1485626	644768	
num 11	4	77610	7669826	5518203	4570014	2110117	
num 11	5	172344	17006621	12285329	9938371	4889743	
num 12	0	16346	1644116	1128111	1155801	256548	
num 12	1	 3762	378826	269129	233789	81328	
num 12	2	15852	1582343	1121944	953490	400335	
num 12	3	67115	6630782	4752865	4029952	1767841	
num 12	4	156568	15407730	11120066	9330916	4222696	
num 13	0	51602	5218521	3505780	3642821	842990	
num 13	1	 7990	801954	561425	488107	193954	
num 13	2	41065	4066016	2898593	2488865	1059166	
num 13	3	122955	12096032	8703699	7459435	3217314	
num 14	0	172530	17397312	11690487	12266128	2813753	
num 14	1	19754	1973914	1381070	1224529	477511	
num 14	2	70130	6921697	4938404	4295587	1797592	
num 15	0	438636	44066565	29708558	31508974	7006719	
num 15	1	31774	3158695	2220433	1985541	769475	
num 16	0	700161	70197995	47416153	50587556	11039512	

zeusmp         
num 0	0	8458204	1932605409	61320085	171367726	 7004	
num 0	1	   13	 3109	   49	  160	   10	
num 0	2	  264	56843	 2438	 7748	  555	
