
---------- Begin Simulation Statistics ----------
sim_seconds                                  2.720493                       # Number of seconds simulated
system.mem_ctrls0.perBankRdBursts::7           599796                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::8           611323                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::9           600432                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::10          590716                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::11          605909                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::12          591477                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::13          589270                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::14          595644                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::15          608957                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::0           212133                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::1           195513                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::2           200018                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::3           201959                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::4           199046                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::5           200684                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::6           190873                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::7           194398                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::8           195910                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::9           192990                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::10          191500                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::11          191910                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::12          190839                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::13          195437                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::14          205454                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::15          210863                       # Per bank write bursts
system.mem_ctrls0.numRdRetry                        0                       # Number of times read queue was full causing retry
system.mem_ctrls0.numWrRetry                        0                       # Number of times write queue was full causing retry
system.mem_ctrls0.totGap                 2720492373762                       # Total gap between requests
system.mem_ctrls0.readPktSize::0                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::1                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::2                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::3                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::4                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::5                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::6              9680813                       # Read request sizes (log2)
system.mem_ctrls0.writePktSize::0                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::1                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::2                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::3                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::4                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::5                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::6             3169558                       # Write request sizes (log2)
system.mem_ctrls0.rdQLenPdf::0                8673227                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::1                 840690                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::2                 146594                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::3                  13706                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::4                      0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::5                      0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::6                      0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::7                      0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::8                      0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::9                      0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::10                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::11                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::12                     0                       # What read queue length does an incoming req see
